Spring 2020,,
College Name,Page Number,
College of Arts and Sciences,1,
College of Engineering and Applied Sciences,103,
"College of Media, Communication and Information",130,
College of Music,142,
Cross-College Programs,159,
Leeds School of Business,162,
Program in Environmental Design,173,
School of Education,175,
School of Law,180,
Note ,,
"This listing was prepared on the basis of the best information available as of November 5, 2019. All information is subject to",,
change.,,
Office of the Registrar,Spring 2020,University of Colorado Boulder
~University of,,Colorado,,Boulder,,Schedule of Classes for Spring 2020,,,,,,,,
College of Arts and Sciences,,,,,,,,,,,,,,
Woodbury 109,,,,,303-492-7885,,,,,,,,,
http://artsandsciences.colorado.edu/,,,,,,,,,,,,,,
Anthropology,,,,,,,,,,,,,,
Hale 350,,,,,303-492-2547,,,,,,,,,
http://www.colorado.edu/Anthropology/,,,,,,,,,,,,,,
Undergraduate,,,,,,,,,,,,,,
DEPT,COURSE,SECTION,SESS,CLASS,CREDITS,COURSE TITLE,CLASS,MEETING TIME,DAYS,BUILDING,ROOM #,INSTRUCTOR NAME,MAX,CAMPUS
,SUBJECT,NUMBER,N,NBR,,COMPONENT,,,,,,,ENR,
ANTH,1120,10,B,24637,3,Pueblo Indians Southwest,LEC,10:00 AM - 10:50 AM,MW,HALE 230,,"Ortman,Scott Graham",150,Main Campus
ANTH,1120,11,B,24638,3,Pueblo Indians Southwest,REC,05:00 PM - 05:50 PM,W,CLRE 209,,"Ortman,Scott Graham",50,Main Campus
ANTH,1120,12,B,24639,3,Pueblo Indians Southwest,REC,03:00 PM - 03:50 PM,W,CLUB 4,,"Ortman,Scott Graham",50,Main Campus
ANTH,1120,13,B,24640,3,Pueblo Indians Southwest,REC,08:00 AM - 08:50 AM,F,CLRE 209,,"Ortman,Scott Graham",50,Main Campus
ANTH,1140,100,B,31983,3,Expl/Nonwest Cult/Maya,LEC,11:00 AM - 11:50 AM,MW,MCOL W100,,"Kurnick,Sarah Jill",160,Main Campus
ANTH,1145,10,B,25316,3,Explr Nonwest Cult/Aztec,LEC,01:00 PM - 01:50 PM,MW,MCOL W100,,"Gutierrez,Gerardo",100,Main Campus
ANTH,1155,40,B,25314,3,Expl Global Cult Diversity,LEC,11:00 AM - 11:50 AM,MWF,HALE 260,,"Jones,Carla Mae",40,Main Campus
ANTH,1170,200,B,22710,3,"Culture, Gender, Film",LEC,02:00 PM - 02:50 PM,TTH,MUEN E050,,"Hammons,Christian Stanford",350,Main Campus
ANTH,2020,1,B,18366,3,Intro to Bio Anthropology 2,LEC,09:30 AM - 10:45 AM,TTH,CHEM 140,,"Leigh,Steven Robert",400,Main Campus
ANTH,2040,1,B,19589,1,Lab in Bio Anthropology 2,MLS,10:00 AM - 11:50 AM,T,HALE 246,,"Paine,Oliver Charles Colvill",16,Main Campus
ANTH,2040,2,B,19617,1,Lab in Bio Anthropology 2,MLS,12:00 PM - 01:50 PM,T,HALE 246,,"Paine,Oliver Charles Colvill",16,Main Campus
ANTH,2040,3,B,19618,1,Lab in Bio Anthropology 2,MLS,02:00 PM - 03:50 PM,T,HALE 246,,"Paine,Oliver Charles Colvill",16,Main Campus
ANTH,2040,4,B,19619,1,Lab in Bio Anthropology 2,MLS,04:00 PM - 05:50 PM,T,HALE 246,,"Paine,Oliver Charles Colvill",16,Main Campus
ANTH,2040,5,B,19620,1,Lab in Bio Anthropology 2,MLS,09:00 AM - 10:50 AM,W,HALE 246,,"Paine,Oliver Charles Colvill",16,Main Campus
ANTH,2040,6,B,19621,1,Lab in Bio Anthropology 2,MLS,11:00 AM - 12:50 PM,W,HALE 246,,"Paine,Oliver Charles Colvill",16,Main Campus
ANTH,2040,7,B,19622,1,Lab in Bio Anthropology 2,MLS,01:00 PM - 02:50 PM,W,HALE 246,,"Paine,Oliver Charles Colvill",16,Main Campus
ANTH,2040,8,B,19623,1,Lab in Bio Anthropology 2,MLS,03:00 PM - 04:50 PM,W,HALE 246,,"Paine,Oliver Charles Colvill",16,Main Campus
ANTH,2040,9,B,19624,1,Lab in Bio Anthropology 2,MLS,05:00 PM - 06:50 PM,W,HALE 246,,"Paine,Oliver Charles Colvill",16,Main Campus
ANTH,2040,10,B,19625,1,Lab in Bio Anthropology 2,MLS,10:00 AM - 11:50 AM,TH,HALE 246,,"Paine,Oliver Charles Colvill",16,Main Campus
ANTH,2040,11,B,19626,1,Lab in Bio Anthropology 2,MLS,12:00 PM - 01:50 PM,TH,HALE 246,,"Paine,Oliver Charles Colvill",16,Main Campus
ANTH,2040,12,B,19627,1,Lab in Bio Anthropology 2,MLS,02:00 PM - 03:50 PM,TH,HALE 246,,"Paine,Oliver Charles Colvill",16,Main Campus
ANTH,2040,15,B,19628,1,Lab in Bio Anthropology 2,MLS,12:00 PM - 01:50 PM,F,HALE 246,,"Paine,Oliver Charles Colvill",16,Main Campus
ANTH,2040,16,B,19629,1,Lab in Bio Anthropology 2,MLS,02:00 PM - 03:50 PM,F,HALE 246,,"Paine,Oliver Charles Colvill",16,Main Campus
ANTH,2100,10,B,18351,3,Intro to Cultural Anthropology,LEC,12:00 PM - 12:50 PM,MW,HUMN 150,,"Goldfarb,Kathryn",155,Main Campus
ANTH,2100,880,B,24429,3,Intro to Cultural Anthropology,LEC,11:00 AM - 11:50 AM,MWF,LIBR N424A,,"Fischer,Katherine Virginia",17,Main Campus
ANTH,2200,10,B,18367,3,The Archaeology of Human Hist,LEC,11:00 AM - 12:15 PM,TTH,HALE 270,,"Bamforth,Douglas",160,Main Campus
ANTH,2525,100,B,31994,3,Environmental Anthropology,LEC,12:00 PM - 12:50 PM,MW,HLMS 252,,"Jacka,Jerry Keith",125,Main Campus
ANTH,3010,1,B,31991,3,The Human Animal,LEC,12:30 PM - 01:45 PM,TTH,HALE 230,,"Covert,Herbert",88,Main Campus
ANTH,3119,1,B,24673,3,The Archaeology of Death,LEC,03:30 PM - 04:45 PM,TTH,CLRE 104,,"Baxter,Leigh Erin",17,Main Campus
ANTH,3119,2,B,24674,3,The Archaeology of Death,LEC,05:00 PM - 06:15 PM,TTH,CLRE 104,,"Baxter,Leigh Erin",17,Main Campus
ANTH,4020,4,B,25406,3-6,Explorations in Anthropology,LEC,03:00 PM - 04:15 PM,MW,CLUB 13,,"Gutierrez,Gerardo",40,Main Campus
ANTH,4125,100,B,32007,3,Primate Life History,LEC,12:30 PM - 01:45 PM,TTH,HALE 455,,"Sauther,Michelle Linda",5,Main Campus
ANTH,4180,1,B,25407,3,Anth Prspect/Contemp Iss,LEC,05:00 PM - 06:15 PM,TTH,HALE 240,,"DeLuca,Laura Marie",30,Main Campus
Page 1 of 180,,,,,,,,Spring 2020,,,,,University of Colorado Boulder,
~University of Colorado,,Boulder,,,,,,,,,,,,
ANTH,4180,2,B,36379,3,Anth Prspect/Contemp Iss,LEC,12:00 PM - 02:30 PM,W,HALE 450,,"Sponheimer,Matthew James",20,Main Campus
ANTH,4580,1,B,24336,3,The Holocaust,LEC,02:00 PM - 03:15 PM,TTH,HUMN 250,,"Shankman,P",96,Main Campus
ANTH,4700,10,B,36347,3,Practicing Anthropology,SEM,03:00 PM - 04:15 PM,MW,HLMS 251,,"Goldfarb,Kathryn",20,Main Campus
ANTH,4720,800,B,18452,3,Dept Honors in Anthropology 2,SEM,09:00 AM - 11:30 AM,TH,See Academc Dept,,"Cool,Alison Collier",10,Main Campus
,,,,,,,,,,For Room Info,,,,
ANTH,4730,1,B,22711,3,Latin American Culture,LEC,02:00 PM - 03:15 PM,TTH,HALE 455,,"Goldstein,Donna M",21,Main Campus
ANTH,4735,1,B,36383,3,Cuban Culture,LEC,01:00 PM - 01:50 PM,MWF,HALE 240,,"Roland,Lorecia Kaifa-Aliya",35,Main Campus
ANTH,4800,1,B,24646,3,Language and Culture,LEC,10:00 AM - 10:50 AM,MWF,HALE 260,,,35,Main Campus
ANTH,2010,300E,BEF,38201,3,Intro to Bio Anthropology 1,LEC,06:00 PM - 07:30 PM,TH,,"Emerson,Cherriethel Kathleen W",,35,Continuing Education
ANTH,2100,300E,BEF,38203,3,Intro to Cultural Anthropology,LEC,05:30 PM - 07:00 PM,W,,,"Merriman,Danielle Reaney",30,Continuing Education
ANTH,2010,581,BL3,38496,3,Intro to Bio Anthropology 1,LEC,-,,Continuing Ed Online,,"O Brien,Jonathan Aaron",35,Continuing Education
,,,,,,,,,,Class,,,,
ANTH,2020,581,BL3,38497,3,Intro to Bio Anthropology 2,LEC,-,,Continuing Ed Online,,"O Brien,Jonathan Aaron",35,Continuing Education
,,,,,,,,,,Class,,,,
ANTH,2100,581,BL3,38500,3,Intro to Cultural Anthropology,LEC,-,,Continuing Ed Online,,"Scott,Jason Bartholomew",35,Continuing Education
,,,,,,,,,,Class,,,,
ANTH,2200,581,BL3,38498,3,The Archaeology of Human Hist,LEC,-,,Continuing Ed Online,,"Webmoor,Timothy Aaron",35,Continuing Education
,,,,,,,,,,Class,,,,
ANTH,3000,581,BL3,38501,3,Primate Behavior,LEC,-,,Continuing Ed Online,,"O Brien,Jonathan Aaron",35,Continuing Education
,,,,,,,,,,Class,,,,
ANTH,4020,582,BL3,38503,3,Explorations in Anthropology,LEC,-,,Continuing Ed Online,,"Scott,Jason Bartholomew",35,Continuing Education
,,,,,,,,,,Class,,,,
ANTH,3170,581,BL4,38502,3,America: Anth Perspective,LEC,-,,Continuing Ed Online,,"Webmoor,Timothy Aaron",35,Continuing Education
,,,,,,,,,,Class,,,,
ANTH,4020,581,BL4,38504,3,Explorations in Anthropology,LEC,-,,Continuing Ed Online,,"Webmoor,Timothy Aaron",35,Continuing Education
,,,,,,,,,,Class,,,,
ANTH,1170,13,BWS,38198,3,"Culture, Gender, Film",LEC,-,,Continuing Ed Online,,"Hammons,Christian Stanford",25,Continuing Education
,,,,,,,,,,Class,,,,
ANTH,1190,13,BWS,38184,3,Origins of Ancient Civilizatns,LEC,-,,Continuing Ed Online,,"Brzezinski,Jeffrey Scott",20,Continuing Education
,,,,,,,,,,Class,,,,
Graduate,,,,,,,,,,,,,,
DEPT,COURSE,SECTION,SESS,CLASS,CREDITS,COURSE TITLE,CLASS,MEETING TIME,DAYS,BUILDING,ROOM #,INSTRUCTOR NAME,MAX,CAMPUS
